id,inference_id,language_model_id,prompt_tokens,completion_tokens,total_tokens,model_options,cost
16,4f653ea4-6bb9-4ca7-bd8e-5309f193964e,Qwen/Qwen2.5-Coder-32B-Instruct,10312,208,10520,"{""model_options_schema_version"":1}",
17,226aafc1-2ae5-4aef-8520-ee32233f00b3,Qwen/Qwen2.5-Coder-32B-Instruct,62,26,88,"{""model_options_schema_version"":1}",
18,1a6995ca-7acb-409e-aad6-2f52d118f38c,Qwen/Qwen2.5-Coder-32B-Instruct,91,14,105,"{""model_options_schema_version"":1}",
19,f77adf99-593c-417c-ae78-c75c35cb5c88,Qwen/Qwen2.5-Coder-32B-Instruct,63,27,90,"{""model_options_schema_version"":1}",
20,bf87e1bb-7b89-4c8c-b0bf-bb6f3ab7f3f5,Qwen/Qwen2.5-Coder-32B-Instruct,89,189,278,"{""model_options_schema_version"":1}",
21,a7418f98-8acf-4088-94db-326741084beb,gemini-1.5-pro,61,38,99,"{""model_options_schema_version"":1}","""0.00026625"""
22,d9e09a2a-68ea-4845-83d0-71f7ff567544,gemini-1.5-pro,10963,47,11010,"{""model_options_schema_version"":1}","""0.01393875"""
23,1e246eed-c643-4b10-b4f8-9a4d43b9ee91,grok-2-latest,15043,72,15115,"{""model_options_schema_version"":1}",
24,7e51a875-24aa-4273-ab86-499627ed09cd,Qwen/Qwen2.5-Coder-32B-Instruct,12456,50,12506,"{""model_options_schema_version"":1}",
25,85003513-f7b8-47d6-8428-9f8d1f5bba70,gemini-1.5-pro,461,70,531,"{""model_options_schema_version"":1}","""0.00092625"""
26,e6f5d0c8-58fc-49ac-9422-a91ba5663563,gemini-1.5-pro,487,7,494,"{""model_options_schema_version"":1}","""0.00064375"""
27,194c4c98-0c15-416e-ae18-c1bd337486b6,Qwen/Qwen2.5-Coder-32B-Instruct,10281,54,10335,"{""model_options_schema_version"":1}",
28,5b6e2c3b-be65-4f09-9ed4-7e5affd73c0d,grok-2-latest,484,13,497,"{""model_options_schema_version"":1}",
29,9d2b801d-ccd7-4cea-ab86-72e115cfcdf2,gpt-4o-mini,10228,47,10275,"{""model_options_schema_version"":1}","""0.00156239"""
30,d4b16048-86ed-49fe-8cdb-401ff564f6b0,gemini-1.5-pro,488,79,567,"{""model_options_schema_version"":1}","""0.001005"""
31,76a66c37-c8b0-4227-915b-bf567d35cd00,gpt-4o-mini,443,55,498,"{""model_options_schema_version"":1}","""0.00009945"""
32,ec80cc6e-0e6a-4b14-9b81-83b7c4eca8a7,gemini-1.5-pro,10963,47,11010,"{""model_options_schema_version"":1}","""0.01393875"""
33,7353ec0f-d482-4f1c-a452-f1d9637610cd,gpt-4o-mini,20803,65,20868,"{""model_options_schema_version"":1}","""0.00315945"""
34,c00afc60-13b1-44ad-bca9-42fe6c174f72,gpt-4o-mini,20803,57,20860,"{""model_options_schema_version"":1}","""0.00315465"""
35,ba4669db-5e2a-4ebb-88a7-071074c04b06,gpt-4o-mini,20825,388,21213,"{""model_options_schema_version"":1}","""0.00335655"""
36,d0ce62cd-55dc-405f-b7fe-36ee090c2d7f,gemini-1.5-pro,461,53,514,"{""model_options_schema_version"":1}","""0.00084125"""
37,9533ff8e-d499-4377-8fae-97f783ae15d3,grok-2-latest,15043,52,15095,"{""model_options_schema_version"":1}",
38,2496d719-a6e0-46f6-aa55-e9a76b2e733c,grok-2-latest,15072,227,15299,"{""model_options_schema_version"":1}",
39,d39758f4-00f7-4ca2-9815-3e2b8c31299d,gpt-4o-mini,12420,31,12451,"{""model_options_schema_version"":1}","""0.00188159"""
40,df60811f-41ce-4e83-b231-b2d9bb322d5e,gpt-4o-mini,12424,104,12528,"{""model_options_schema_version"":1}","""0.001926"""
41,a06ef67c-30e6-428a-9a38-2eb6980d9fb6,gemini-1.5-pro,1206,209,1415,"{""model_options_schema_version"":1}","""0.0025525"""
42,ed8b2cae-d12c-445f-9ac2-3b2295ece57d,gemini-1.5-pro,1178,59,1237,"{""model_options_schema_version"":1}","""0.0017675"""
43,138232e7-8b4f-42f3-94ee-6e36205c15fa,gemini-1.5-pro,1201,37,1238,"{""model_options_schema_version"":1}","""0.00168625"""
44,c5fba319-2152-48d3-93e3-f33861fd892f,gpt-4o-mini,1140,14,1154,"{""model_options_schema_version"":1}","""0.00017939"""
45,c9fea532-2e35-4c01-ba8d-6c69ea080fa5,gemini-1.5-pro,22691,46,22737,"{""model_options_schema_version"":1}","""0.02859375"""
46,98ee80cd-7748-40af-8ab7-b6e51aa4b099,gemini-1.5-pro,22722,54,22776,"{""model_options_schema_version"":1}","""0.0286725"""
47,3d849d4d-950b-403c-9bc3-6c2d5d590b44,gemini-1.5-pro,22691,46,22737,"{""model_options_schema_version"":1}","""0.02859375"""
48,d6cae04d-187f-48c8-89f5-77a30835e0c1,gpt-4o-mini,703,64,767,"{""model_options_schema_version"":1}","""0.00014385"""
49,3b7f5af7-156d-4f90-a7d0-def3a9778a9b,gpt-4o-mini,1143,16,1159,"{""model_options_schema_version"":1}","""0.00018105"""
50,5ffd1991-c20f-4764-9a6e-e5bf24325408,gpt-4o-mini,1117,84,1201,"{""model_options_schema_version"":1}","""0.00021795"""
51,a6fbdaa3-01f3-4736-a5c0-be4f7d7a8511,Qwen/Qwen2.5-Coder-32B-Instruct,15,61,76,"{""model_options_schema_version"":1}",
52,3eef0320-5885-45c2-9831-7b3fb6aa5455,gpt-4o-mini,1117,51,1168,"{""model_options_schema_version"":1}","""0.00019814"""
53,271de051-0833-49de-88fd-9f6487c9f47e,Qwen/Qwen2.5-Coder-32B-Instruct,22,356,378,"{""model_options_schema_version"":1}",
54,55801018-dea5-4c73-99b2-2d2dfee76bb7,gemini-1.5-pro,91,22,113,"{""model_options_schema_version"":1}","""0.00022375"""
55,05ef3d66-aab1-47d7-a8e2-579d4b492b3a,gemini-1.5-pro,94,2,96,"{""model_options_schema_version"":1}","""0.0001275"""
56,37d11780-d4cb-4051-bdb0-f1d49603f302,gemini-1.5-pro,94,2,96,"{""model_options_schema_version"":1}","""0.0001275"""
57,4b7ad0fe-0b44-46aa-aafb-2a7c86594d16,gemini-1.5-pro,94,2,96,"{""model_options_schema_version"":1}","""0.0001275"""
58,423d6e98-6176-4126-adde-f307128dbfd4,Qwen/Qwen2.5-Coder-32B-Instruct,12456,50,12506,"{""model_options_schema_version"":1}",
59,12f7a529-607c-4c02-8462-542327fff4bb,Qwen/Qwen2.5-Coder-32B-Instruct,12486,30,12516,"{""model_options_schema_version"":1}",
60,bc51f02c-2762-4e0f-aba6-0dd67ce27ca5,Qwen/Qwen2.5-Coder-32B-Instruct,12456,50,12506,"{""model_options_schema_version"":1}",
61,d47d98c6-d57e-48c1-9e96-907fb9de80ac,Qwen/Qwen2.5-Coder-32B-Instruct,12483,27,12510,"{""model_options_schema_version"":1}",
62,114cdb7c-f2ac-4b3c-9040-59df22bea9e3,Qwen/Qwen2.5-Coder-32B-Instruct,10281,54,10335,"{""model_options_schema_version"":1}",
63,9b4446a8-9838-4e02-882f-e83511810706,gpt-4o-mini,10228,56,10284,"{""model_options_schema_version"":1}","""0.00156779"""
64,8c01bfe4-ce98-4587-a0bf-a6991e2d130b,Qwen/Qwen2.5-Coder-32B-Instruct,10281,54,10335,"{""model_options_schema_version"":1}",
65,7eb258b2-6b17-4b28-84e9-c3bbdf9b8eb3,Qwen/Qwen2.5-Coder-32B-Instruct,10281,54,10335,"{""model_options_schema_version"":1}",
66,d109b535-0a0a-43ea-88f0-df53f2f37a8d,Qwen/Qwen2.5-Coder-32B-Instruct,10311,526,10837,"{""model_options_schema_version"":1}",
67,4f653ea4-6bb9-4ca7-bd8e-5309f193964e,Qwen/Qwen2.5-Coder-32B-Instruct,10312,208,10520,"{""model_options_schema_version"":1}",
68,226aafc1-2ae5-4aef-8520-ee32233f00b3,Qwen/Qwen2.5-Coder-32B-Instruct,62,26,88,"{""model_options_schema_version"":1}",
69,1a6995ca-7acb-409e-aad6-2f52d118f38c,Qwen/Qwen2.5-Coder-32B-Instruct,91,14,105,"{""model_options_schema_version"":1}",
70,f77adf99-593c-417c-ae78-c75c35cb5c88,Qwen/Qwen2.5-Coder-32B-Instruct,63,27,90,"{""model_options_schema_version"":1}",
71,bf87e1bb-7b89-4c8c-b0bf-bb6f3ab7f3f5,Qwen/Qwen2.5-Coder-32B-Instruct,89,189,278,"{""model_options_schema_version"":1}",
72,a7418f98-8acf-4088-94db-326741084beb,gemini-1.5-pro,61,38,99,"{""model_options_schema_version"":1}","""0.00026625"""
73,d9e09a2a-68ea-4845-83d0-71f7ff567544,gemini-1.5-pro,10963,47,11010,"{""model_options_schema_version"":1}","""0.01393875"""
74,1e246eed-c643-4b10-b4f8-9a4d43b9ee91,grok-2-latest,15043,72,15115,"{""model_options_schema_version"":1}",
75,7e51a875-24aa-4273-ab86-499627ed09cd,Qwen/Qwen2.5-Coder-32B-Instruct,12456,50,12506,"{""model_options_schema_version"":1}",
76,85003513-f7b8-47d6-8428-9f8d1f5bba70,gemini-1.5-pro,461,70,531,"{""model_options_schema_version"":1}","""0.00092625"""
77,e6f5d0c8-58fc-49ac-9422-a91ba5663563,gemini-1.5-pro,487,7,494,"{""model_options_schema_version"":1}","""0.00064375"""
78,194c4c98-0c15-416e-ae18-c1bd337486b6,Qwen/Qwen2.5-Coder-32B-Instruct,10281,54,10335,"{""model_options_schema_version"":1}",
79,5b6e2c3b-be65-4f09-9ed4-7e5affd73c0d,grok-2-latest,484,13,497,"{""model_options_schema_version"":1}",
80,9d2b801d-ccd7-4cea-ab86-72e115cfcdf2,gpt-4o-mini,10228,47,10275,"{""model_options_schema_version"":1}","""0.00156239"""
81,d4b16048-86ed-49fe-8cdb-401ff564f6b0,gemini-1.5-pro,488,79,567,"{""model_options_schema_version"":1}","""0.001005"""
82,76a66c37-c8b0-4227-915b-bf567d35cd00,gpt-4o-mini,443,55,498,"{""model_options_schema_version"":1}","""0.00009945"""
83,ec80cc6e-0e6a-4b14-9b81-83b7c4eca8a7,gemini-1.5-pro,10963,47,11010,"{""model_options_schema_version"":1}","""0.01393875"""
84,7353ec0f-d482-4f1c-a452-f1d9637610cd,gpt-4o-mini,20803,65,20868,"{""model_options_schema_version"":1}","""0.00315945"""
85,c00afc60-13b1-44ad-bca9-42fe6c174f72,gpt-4o-mini,20803,57,20860,"{""model_options_schema_version"":1}","""0.00315465"""
86,ba4669db-5e2a-4ebb-88a7-071074c04b06,gpt-4o-mini,20825,388,21213,"{""model_options_schema_version"":1}","""0.00335655"""
87,d0ce62cd-55dc-405f-b7fe-36ee090c2d7f,gemini-1.5-pro,461,53,514,"{""model_options_schema_version"":1}","""0.00084125"""
88,9533ff8e-d499-4377-8fae-97f783ae15d3,grok-2-latest,15043,52,15095,"{""model_options_schema_version"":1}",
89,2496d719-a6e0-46f6-aa55-e9a76b2e733c,grok-2-latest,15072,227,15299,"{""model_options_schema_version"":1}",
90,d39758f4-00f7-4ca2-9815-3e2b8c31299d,gpt-4o-mini,12420,31,12451,"{""model_options_schema_version"":1}","""0.00188159"""
91,df60811f-41ce-4e83-b231-b2d9bb322d5e,gpt-4o-mini,12424,104,12528,"{""model_options_schema_version"":1}","""0.001926"""
92,a06ef67c-30e6-428a-9a38-2eb6980d9fb6,gemini-1.5-pro,1206,209,1415,"{""model_options_schema_version"":1}","""0.0025525"""
93,ed8b2cae-d12c-445f-9ac2-3b2295ece57d,gemini-1.5-pro,1178,59,1237,"{""model_options_schema_version"":1}","""0.0017675"""
94,138232e7-8b4f-42f3-94ee-6e36205c15fa,gemini-1.5-pro,1201,37,1238,"{""model_options_schema_version"":1}","""0.00168625"""
95,c5fba319-2152-48d3-93e3-f33861fd892f,gpt-4o-mini,1140,14,1154,"{""model_options_schema_version"":1}","""0.00017939"""
96,c9fea532-2e35-4c01-ba8d-6c69ea080fa5,gemini-1.5-pro,22691,46,22737,"{""model_options_schema_version"":1}","""0.02859375"""
97,98ee80cd-7748-40af-8ab7-b6e51aa4b099,gemini-1.5-pro,22722,54,22776,"{""model_options_schema_version"":1}","""0.0286725"""
98,3d849d4d-950b-403c-9bc3-6c2d5d590b44,gemini-1.5-pro,22691,46,22737,"{""model_options_schema_version"":1}","""0.02859375"""
99,d6cae04d-187f-48c8-89f5-77a30835e0c1,gpt-4o-mini,703,64,767,"{""model_options_schema_version"":1}","""0.00014385"""
100,3b7f5af7-156d-4f90-a7d0-def3a9778a9b,gpt-4o-mini,1143,16,1159,"{""model_options_schema_version"":1}","""0.00018105"""
